person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,emp_length_clean,int_rate_clean,lti_ratio,default_history_flag,risk_tier
22,76800,MORTGAGE,4.0,PERSONAL,A,12000,8.9,0,0.16,False,2,4.0,8.9,0.156,0,Tier 2: Medium Risk (Standard)
78,48000,RENT,41.0,MEDICAL,A,3000,7.51,0,0.06,False,25,41.0,7.51,0.063,0,Tier 1: Low Risk (Prime)
22,26400,MORTGAGE,,HOMEIMPROVEMENT,A,1550,,1,0.06,False,2,0.0,7.33,0.059,0,Tier 1: Low Risk (Prime)
24,110000,RENT,4.0,DEBTCONSOLIDATION,A,13000,8.9,0,0.12,False,2,4.0,8.9,0.118,0,Tier 1: Low Risk (Prime)
23,28800,MORTGAGE,,MEDICAL,A,10625,,0,0.37,False,2,0.0,7.33,0.369,0,Tier 2: Medium Risk (Standard)
24,100000,OWN,4.0,MEDICAL,A,6000,8.9,0,0.06,False,2,4.0,8.9,0.06,0,Tier 1: Low Risk (Prime)
24,22000,RENT,,MEDICAL,A,2200,,0,0.1,False,3,0.0,7.33,0.1,0,Tier 1: Low Risk (Prime)
23,59000,RENT,4.0,PERSONAL,A,14400,8.9,0,0.24,False,3,4.0,8.9,0.244,0,Tier 2: Medium Risk (Standard)
24,35500,MORTGAGE,,DEBTCONSOLIDATION,A,14500,,0,0.41,False,3,0.0,7.33,0.408,0,Tier 3: High Risk (Subprime)
24,195000,MORTGAGE,4.0,MEDICAL,A,5000,8.9,0,0.03,False,3,4.0,8.9,0.026,0,Tier 1: Low Risk (Prime)
23,40000,OWN,,VENTURE,A,2000,,0,0.05,False,4,0.0,7.33,0.05,0,Tier 1: Low Risk (Prime)
24,60000,RENT,4.0,EDUCATION,A,12000,8.9,0,0.2,False,3,4.0,8.9,0.2,0,Tier 2: Medium Risk (Standard)
24,44000,MORTGAGE,,MEDICAL,A,4000,,0,0.09,False,3,0.0,7.33,0.091,0,Tier 1: Low Risk (Prime)
31,60000,RENT,4.0,HOMEIMPROVEMENT,A,25000,8.9,1,0.42,False,10,4.0,8.9,0.417,0,Tier 3: High Risk (Subprime)
26,70000,MORTGAGE,,PERSONAL,A,5000,,0,0.07,False,4,0.0,7.33,0.071,0,Tier 1: Low Risk (Prime)
32,66000,RENT,4.0,HOMEIMPROVEMENT,A,20000,8.9,0,0.3,False,9,4.0,8.9,0.303,0,Tier 2: Medium Risk (Standard)
23,120000,MORTGAGE,,VENTURE,A,10000,,0,0.08,False,2,0.0,7.33,0.083,0,Tier 1: Low Risk (Prime)
31,75000,RENT,4.0,HOMEIMPROVEMENT,A,18000,8.9,0,0.24,False,6,4.0,8.9,0.24,0,Tier 2: Medium Risk (Standard)
23,120000,MORTGAGE,,PERSONAL,A,10000,,0,0.08,False,2,0.0,7.33,0.083,0,Tier 1: Low Risk (Prime)
32,36000,RENT,4.0,VENTURE,A,5300,8.9,0,0.15,False,6,4.0,8.9,0.147,0,Tier 1: Low Risk (Prime)
31,30000,MORTGAGE,,VENTURE,A,5000,,0,0.17,False,7,0.0,7.33,0.167,0,Tier 2: Medium Risk (Standard)
27,23000,RENT,4.0,MEDICAL,A,6000,8.9,0,0.26,False,6,4.0,8.9,0.261,0,Tier 2: Medium Risk (Standard)
34,31800,MORTGAGE,,PERSONAL,A,1700,,1,0.05,False,9,0.0,7.33,0.053,0,Tier 1: Low Risk (Prime)
31,50000,MORTGAGE,4.0,VENTURE,A,16000,8.9,0,0.32,False,8,4.0,8.9,0.32,0,Tier 2: Medium Risk (Standard)
29,44400,MORTGAGE,,PERSONAL,A,5000,,0,0.11,False,7,0.0,7.33,0.113,0,Tier 1: Low Risk (Prime)
27,52000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,8000,8.9,0,0.15,False,10,4.0,8.9,0.154,0,Tier 2: Medium Risk (Standard)
34,51000,MORTGAGE,,PERSONAL,A,6400,,0,0.13,False,6,0.0,7.33,0.125,0,Tier 1: Low Risk (Prime)
30,85000,RENT,4.0,HOMEIMPROVEMENT,A,7000,8.9,0,0.08,False,5,4.0,8.9,0.082,0,Tier 1: Low Risk (Prime)
23,87000,MORTGAGE,7.0,EDUCATION,A,3500,9.32,0,0.04,False,3,7.0,9.32,0.04,0,Tier 1: Low Risk (Prime)
23,90000,RENT,4.0,VENTURE,A,10000,7.51,0,0.11,False,2,4.0,7.51,0.111,0,Tier 1: Low Risk (Prime)
24,55000,MORTGAGE,3.0,PERSONAL,A,15000,6.62,0,0.27,False,3,3.0,6.62,0.273,0,Tier 2: Medium Risk (Standard)
28,40500,RENT,9.0,DEBTCONSOLIDATION,A,15000,7.88,1,0.37,False,5,9.0,7.88,0.37,0,Tier 2: Medium Risk (Standard)
25,50000,RENT,5.0,HOMEIMPROVEMENT,A,3000,6.03,0,0.06,False,3,5.0,6.03,0.06,0,Tier 1: Low Risk (Prime)
24,112000,RENT,8.0,HOMEIMPROVEMENT,A,6400,6.62,0,0.06,False,2,8.0,6.62,0.057,0,Tier 1: Low Risk (Prime)
27,55000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,9000,7.51,0,0.16,False,8,1.0,7.51,0.164,0,Tier 2: Medium Risk (Standard)
23,81600,MORTGAGE,7.0,DEBTCONSOLIDATION,A,9000,7.49,0,0.11,False,4,7.0,7.49,0.11,0,Tier 1: Low Risk (Prime)
36,32000,OWN,0.0,EDUCATION,A,1200,7.14,0,0.04,False,16,0.0,7.14,0.037,0,Tier 1: Low Risk (Prime)
23,80400,RENT,4.0,PERSONAL,A,9000,7.51,0,0.11,False,2,4.0,7.51,0.112,0,Tier 1: Low Risk (Prime)
27,108928,MORTGAGE,9.0,EDUCATION,A,17600,7.88,0,0.16,False,8,9.0,7.88,0.162,0,Tier 2: Medium Risk (Standard)
22,127500,MORTGAGE,2.0,MEDICAL,A,15000,7.49,0,0.12,False,4,2.0,7.49,0.118,0,Tier 1: Low Risk (Prime)
43,780000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,1000,8.94,0,0.0,False,11,2.0,8.94,0.001,0,Tier 1: Low Risk (Prime)
25,33996,RENT,0.0,VENTURE,A,5000,9.38,0,0.15,False,3,0.0,9.38,0.147,0,Tier 1: Low Risk (Prime)
26,56000,MORTGAGE,10.0,EDUCATION,A,6000,5.42,0,0.11,False,4,10.0,5.42,0.107,0,Tier 1: Low Risk (Prime)
22,72000,MORTGAGE,6.0,EDUCATION,A,5000,6.54,0,0.07,False,4,6.0,6.54,0.069,0,Tier 1: Low Risk (Prime)
23,84000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,6.92,0,0.08,False,2,4.0,6.92,0.083,0,Tier 1: Low Risk (Prime)
22,42000,OWN,3.0,VENTURE,A,7000,,0,0.17,False,3,3.0,7.33,0.167,0,Tier 2: Medium Risk (Standard)
29,118400,MORTGAGE,11.0,EDUCATION,A,35000,7.9,0,0.3,False,7,11.0,7.9,0.296,0,Tier 2: Medium Risk (Standard)
28,37290,MORTGAGE,7.0,PERSONAL,A,5500,5.42,0,0.15,False,5,7.0,5.42,0.147,0,Tier 1: Low Risk (Prime)
32,48000,RENT,15.0,VENTURE,A,3600,6.92,0,0.07,False,6,15.0,6.92,0.075,0,Tier 1: Low Risk (Prime)
35,38000,RENT,0.0,MEDICAL,A,1500,7.4,0,0.04,False,6,0.0,7.4,0.039,0,Tier 1: Low Risk (Prime)
28,52300,RENT,1.0,MEDICAL,A,10800,7.88,0,0.21,False,8,1.0,7.88,0.207,0,Tier 2: Medium Risk (Standard)
40,164000,RENT,11.0,DEBTCONSOLIDATION,A,8000,,0,0.05,False,17,11.0,7.33,0.049,0,Tier 1: Low Risk (Prime)
24,135000,MORTGAGE,0.0,EDUCATION,A,6000,6.92,0,0.04,False,2,0.0,6.92,0.044,0,Tier 1: Low Risk (Prime)
37,50000,MORTGAGE,15.0,VENTURE,A,8400,6.03,0,0.17,False,11,15.0,6.03,0.168,0,Tier 2: Medium Risk (Standard)
40,55000,MORTGAGE,2.0,VENTURE,A,3600,6.39,0,0.07,False,14,2.0,6.39,0.065,0,Tier 1: Low Risk (Prime)
25,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,9000,6.03,0,0.18,False,2,4.0,6.03,0.18,0,Tier 2: Medium Risk (Standard)
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,False,2,2.0,7.9,0.431,0,Tier 3: High Risk (Subprime)
31,43200,MORTGAGE,0.0,VENTURE,A,3000,8.9,0,0.07,False,6,0.0,8.9,0.069,0,Tier 1: Low Risk (Prime)
26,62000,MORTGAGE,5.0,MEDICAL,A,10000,7.88,0,0.16,False,2,5.0,7.88,0.161,0,Tier 2: Medium Risk (Standard)
33,85000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,8000,7.14,0,0.09,False,8,12.0,7.14,0.094,0,Tier 1: Low Risk (Prime)
34,32000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,2275,6.17,0,0.07,False,10,12.0,6.17,0.071,0,Tier 1: Low Risk (Prime)
24,45000,MORTGAGE,8.0,VENTURE,A,6000,7.51,0,0.13,False,3,8.0,7.51,0.133,0,Tier 1: Low Risk (Prime)
28,76000,RENT,4.0,DEBTCONSOLIDATION,A,3400,8.49,0,0.04,False,5,4.0,8.49,0.045,0,Tier 1: Low Risk (Prime)
24,35000,RENT,1.0,VENTURE,A,12000,6.54,1,0.34,False,2,1.0,6.54,0.343,0,Tier 2: Medium Risk (Standard)
22,48000,OWN,6.0,VENTURE,A,4800,8.49,0,0.1,False,4,6.0,8.49,0.1,0,Tier 1: Low Risk (Prime)
33,42000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,13000,7.9,0,0.31,False,6,3.0,7.9,0.31,0,Tier 2: Medium Risk (Standard)
29,31000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,9950,7.9,0,0.32,False,6,1.0,7.9,0.321,0,Tier 2: Medium Risk (Standard)
38,85000,MORTGAGE,15.0,VENTURE,A,15000,6.03,0,0.18,False,15,15.0,6.03,0.176,0,Tier 2: Medium Risk (Standard)
23,59000,RENT,7.0,EDUCATION,A,7500,6.54,0,0.13,False,2,7.0,6.54,0.127,0,Tier 1: Low Risk (Prime)
21,22000,RENT,1.0,MEDICAL,A,4800,7.88,0,0.22,False,2,1.0,7.88,0.218,0,Tier 2: Medium Risk (Standard)
28,21000,RENT,3.0,PERSONAL,A,1000,7.49,0,0.05,False,9,3.0,7.49,0.048,0,Tier 1: Low Risk (Prime)
29,49000,RENT,3.0,EDUCATION,A,9500,,1,0.19,False,5,3.0,7.33,0.194,0,Tier 2: Medium Risk (Standard)
24,36396,RENT,8.0,DEBTCONSOLIDATION,A,5000,6.03,0,0.14,False,3,8.0,6.03,0.137,0,Tier 1: Low Risk (Prime)
25,42000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,10000,5.42,0,0.24,False,2,3.0,5.42,0.238,0,Tier 2: Medium Risk (Standard)
41,56000,RENT,3.0,HOMEIMPROVEMENT,A,9000,5.99,0,0.16,False,16,3.0,5.99,0.161,0,Tier 2: Medium Risk (Standard)
23,149385,OWN,7.0,VENTURE,A,7000,8.94,0,0.05,False,4,7.0,8.94,0.047,0,Tier 1: Low Risk (Prime)
25,74000,OWN,1.0,MEDICAL,A,16000,8.49,0,0.22,False,3,1.0,8.49,0.216,0,Tier 2: Medium Risk (Standard)
37,110000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,12000,7.88,0,0.11,False,16,11.0,7.88,0.109,0,Tier 1: Low Risk (Prime)
27,67200,RENT,0.0,PERSONAL,A,8000,6.03,0,0.12,False,5,0.0,6.03,0.119,0,Tier 1: Low Risk (Prime)
33,24000,RENT,6.0,MEDICAL,A,10000,8.9,1,0.42,False,10,6.0,8.9,0.417,0,Tier 3: High Risk (Subprime)
23,33000,RENT,0.0,DEBTCONSOLIDATION,A,11000,7.66,1,0.33,False,2,0.0,7.66,0.333,0,Tier 2: Medium Risk (Standard)
25,150000,MORTGAGE,9.0,EDUCATION,A,8200,5.79,0,0.05,False,3,9.0,5.79,0.055,0,Tier 1: Low Risk (Prime)
29,62000,OWN,4.0,EDUCATION,A,15000,6.03,0,0.24,False,7,4.0,6.03,0.242,0,Tier 2: Medium Risk (Standard)
36,70000,RENT,4.0,VENTURE,A,6000,7.29,0,0.09,False,15,4.0,7.29,0.086,0,Tier 1: Low Risk (Prime)
34,195000,MORTGAGE,18.0,PERSONAL,A,6000,6.92,0,0.03,False,10,18.0,6.92,0.031,0,Tier 1: Low Risk (Prime)
